,y_pred,y_test
661,33771.945,33731.37
662,33712.176,33830.92
663,33745.773,33713.33
664,33737.45,33802.89
665,33726.977,33839.19
666,33793.77,33760.33
667,33751.14,33901.43
668,33792.7,33912.91
669,33874.496,33813.65
670,33827.89,33773.76
671,33756.11,33807.98
672,33768.023,33908.42
673,33827.715,33991.66
674,33946.2,33929.51
675,33924.684,33868.76
676,33865.676,33800.0
677,33782.43,33827.72
678,33789.945,33900.65
679,33847.605,33904.07
680,33853.574,33894.3
681,33870.934,33916.6
682,33883.348,33867.32
683,33863.035,33843.68
684,33835.26,34056.87
685,33947.98,34187.99
686,34111.492,34438.63
687,34303.414,34504.77
688,34460.91,34542.36
689,34494.246,34619.32
690,34551.414,34720.77
691,34642.5,34746.87
692,34712.176,34736.16
693,34692.273,34630.69
694,34611.473,34634.1
695,34648.098,34698.0
696,34687.84,34635.81
697,34656.59,34715.3
698,34653.664,34792.4
699,34737.016,34700.0
700,34701.977,34666.09
701,34652.375,34786.08
702,34707.9,34825.07
703,34784.594,34877.86
704,34844.395,34825.18
705,34820.812,34945.08
706,34878.434,35015.94
707,34947.684,34921.11
708,34961.156,34973.14
709,34952.54,34969.43
710,34960.258,34926.48
711,34905.465,34857.33
712,34852.977,34915.87
713,34888.875,35030.47
714,34971.906,35120.96
715,35064.793,35099.03
716,35089.496,35026.23
717,35013.906,35036.1
